question_ref,lo_code,question_type,question_text,explanation,subtopic_codes,difficulty,source,verified,option_key,option_text,answer_value,sort_order
d-1-01,D1,mc,A retail company stores 50TB of historical transaction data in Amazon S3 as gzipped CSV files; data scientists report that SageMaker training jobs spend most of their time loading and parsing data rather than training. The team will run dozens of experiments per week against the same dataset filtered by transaction date. Which approach will most improve training read performance while reducing storage cost?,Parquet is a columnar format that supports compression and predicate pushdown; partitioning by date lets training jobs read only the relevant partitions which dramatically reduces I/O and storage costs. CSV with more instances does not reduce parsing overhead or scan cost. JSON Lines is row-based and verbose so it does not help with read performance and EFS is much more expensive than S3 for read-mostly ML datasets. FSx for Lustre is useful but does not solve the inefficient CSV format and increases cost compared to optimizing the format in S3.,k-1-1-5|s-1-1-1|k-1-2-1,medium,ai-generated,FALSE,A,Keep the CSV format and increase the number of training instances to parallelize reads,FALSE,1
d-1-01,D1,mc,A retail company stores 50TB of historical transaction data in Amazon S3 as gzipped CSV files; data scientists report that SageMaker training jobs spend most of their time loading and parsing data rather than training. The team will run dozens of experiments per week against the same dataset filtered by transaction date. Which approach will most improve training read performance while reducing storage cost?,Parquet is a columnar format that supports compression and predicate pushdown; partitioning by date lets training jobs read only the relevant partitions which dramatically reduces I/O and storage costs. CSV with more instances does not reduce parsing overhead or scan cost. JSON Lines is row-based and verbose so it does not help with read performance and EFS is much more expensive than S3 for read-mostly ML datasets. FSx for Lustre is useful but does not solve the inefficient CSV format and increases cost compared to optimizing the format in S3.,k-1-1-5|s-1-1-1|k-1-2-1,medium,ai-generated,FALSE,B,Convert the data to Apache Parquet using an AWS Glue ETL job and partition by transaction date in S3,TRUE,2
d-1-01,D1,mc,A retail company stores 50TB of historical transaction data in Amazon S3 as gzipped CSV files; data scientists report that SageMaker training jobs spend most of their time loading and parsing data rather than training. The team will run dozens of experiments per week against the same dataset filtered by transaction date. Which approach will most improve training read performance while reducing storage cost?,Parquet is a columnar format that supports compression and predicate pushdown; partitioning by date lets training jobs read only the relevant partitions which dramatically reduces I/O and storage costs. CSV with more instances does not reduce parsing overhead or scan cost. JSON Lines is row-based and verbose so it does not help with read performance and EFS is much more expensive than S3 for read-mostly ML datasets. FSx for Lustre is useful but does not solve the inefficient CSV format and increases cost compared to optimizing the format in S3.,k-1-1-5|s-1-1-1|k-1-2-1,medium,ai-generated,FALSE,C,Convert the dataset to JSON Lines and store in Amazon EFS for high-throughput access,FALSE,3
d-1-01,D1,mc,A retail company stores 50TB of historical transaction data in Amazon S3 as gzipped CSV files; data scientists report that SageMaker training jobs spend most of their time loading and parsing data rather than training. The team will run dozens of experiments per week against the same dataset filtered by transaction date. Which approach will most improve training read performance while reducing storage cost?,Parquet is a columnar format that supports compression and predicate pushdown; partitioning by date lets training jobs read only the relevant partitions which dramatically reduces I/O and storage costs. CSV with more instances does not reduce parsing overhead or scan cost. JSON Lines is row-based and verbose so it does not help with read performance and EFS is much more expensive than S3 for read-mostly ML datasets. FSx for Lustre is useful but does not solve the inefficient CSV format and increases cost compared to optimizing the format in S3.,k-1-1-5|s-1-1-1|k-1-2-1,medium,ai-generated,FALSE,D,Move the CSV files to Amazon FSx for Lustre and continue using the existing format,FALSE,4
d-1-02,D1,mc,A media company wants to land high-volume clickstream events from its mobile apps into Amazon S3 for nightly model retraining; the team wants minimal operational overhead and prefers data to arrive in a query-efficient columnar format without writing custom processing code. Which ingestion approach best meets these requirements?,Kinesis Data Firehose offers built-in record format conversion to Parquet or ORC using a referenced AWS Glue table schema and delivers automatically to S3 with no custom code - the lowest-overhead managed path. Kinesis Data Streams plus a custom Lambda works but requires writing and operating consumer code which conflicts with the minimal-overhead goal. Self-managed Kafka adds significant operational burden. Direct S3 PUTs from mobile apps are not durable streaming and shift heavy work to clients.,k-1-1-2|s-1-1-1|k-1-2-1,medium,ai-generated,FALSE,A,Send events to Amazon Kinesis Data Streams and write a custom Lambda consumer that converts records to Parquet and writes to S3,FALSE,1
d-1-02,D1,mc,A media company wants to land high-volume clickstream events from its mobile apps into Amazon S3 for nightly model retraining; the team wants minimal operational overhead and prefers data to arrive in a query-efficient columnar format without writing custom processing code. Which ingestion approach best meets these requirements?,Kinesis Data Firehose offers built-in record format conversion to Parquet or ORC using a referenced AWS Glue table schema and delivers automatically to S3 with no custom code - the lowest-overhead managed path. Kinesis Data Streams plus a custom Lambda works but requires writing and operating consumer code which conflicts with the minimal-overhead goal. Self-managed Kafka adds significant operational burden. Direct S3 PUTs from mobile apps are not durable streaming and shift heavy work to clients.,k-1-1-2|s-1-1-1|k-1-2-1,medium,ai-generated,FALSE,B,Send events to Amazon Kinesis Data Firehose with built-in record format conversion to Parquet using a Glue table schema,TRUE,2
d-1-02,D1,mc,A media company wants to land high-volume clickstream events from its mobile apps into Amazon S3 for nightly model retraining; the team wants minimal operational overhead and prefers data to arrive in a query-efficient columnar format without writing custom processing code. Which ingestion approach best meets these requirements?,Kinesis Data Firehose offers built-in record format conversion to Parquet or ORC using a referenced AWS Glue table schema and delivers automatically to S3 with no custom code - the lowest-overhead managed path. Kinesis Data Streams plus a custom Lambda works but requires writing and operating consumer code which conflicts with the minimal-overhead goal. Self-managed Kafka adds significant operational burden. Direct S3 PUTs from mobile apps are not durable streaming and shift heavy work to clients.,k-1-1-2|s-1-1-1|k-1-2-1,medium,ai-generated,FALSE,C,Run a self-managed Apache Kafka cluster on EC2 and use Kafka Connect to write to S3 in CSV,FALSE,3
d-1-02,D1,mc,A media company wants to land high-volume clickstream events from its mobile apps into Amazon S3 for nightly model retraining; the team wants minimal operational overhead and prefers data to arrive in a query-efficient columnar format without writing custom processing code. Which ingestion approach best meets these requirements?,Kinesis Data Firehose offers built-in record format conversion to Parquet or ORC using a referenced AWS Glue table schema and delivers automatically to S3 with no custom code - the lowest-overhead managed path. Kinesis Data Streams plus a custom Lambda works but requires writing and operating consumer code which conflicts with the minimal-overhead goal. Self-managed Kafka adds significant operational burden. Direct S3 PUTs from mobile apps are not durable streaming and shift heavy work to clients.,k-1-1-2|s-1-1-1|k-1-2-1,medium,ai-generated,FALSE,D,Have mobile apps write directly to Amazon S3 using batched PUT requests with client-side Parquet conversion,FALSE,4
d-1-03,D1,mc,A research team runs distributed SageMaker training jobs that read the same 5TB tabular dataset for 200 epochs; the dataset currently exists as gzipped CSV in S3 and GPU utilization stays under 30% because workers spend time on I/O and CSV parsing. Which combination most efficiently raises training throughput?,Parquet eliminates expensive CSV parsing and supports columnar reads while FSx for Lustre linked to S3 provides high-throughput low-latency access for repeated multi-epoch reads while keeping the canonical dataset in S3. EFS is general-purpose and does not address CSV parsing cost. SageMaker File mode plus more memory does not address parsing or read latency. Per-job copies to instance-store waste time at the start of every job and do not scale across distributed training instances.,k-1-1-6|k-1-1-5|k-1-2-1|s-1-1-1,hard,ai-generated,FALSE,A,Use AWS Glue to convert the dataset to Parquet and use Amazon FSx for Lustre linked to the S3 bucket for SageMaker training input,TRUE,1
d-1-03,D1,mc,A research team runs distributed SageMaker training jobs that read the same 5TB tabular dataset for 200 epochs; the dataset currently exists as gzipped CSV in S3 and GPU utilization stays under 30% because workers spend time on I/O and CSV parsing. Which combination most efficiently raises training throughput?,Parquet eliminates expensive CSV parsing and supports columnar reads while FSx for Lustre linked to S3 provides high-throughput low-latency access for repeated multi-epoch reads while keeping the canonical dataset in S3. EFS is general-purpose and does not address CSV parsing cost. SageMaker File mode plus more memory does not address parsing or read latency. Per-job copies to instance-store waste time at the start of every job and do not scale across distributed training instances.,k-1-1-6|k-1-1-5|k-1-2-1|s-1-1-1,hard,ai-generated,FALSE,B,Replace S3 with Amazon EFS as the primary store for the gzipped CSV dataset,FALSE,2
d-1-03,D1,mc,A research team runs distributed SageMaker training jobs that read the same 5TB tabular dataset for 200 epochs; the dataset currently exists as gzipped CSV in S3 and GPU utilization stays under 30% because workers spend time on I/O and CSV parsing. Which combination most efficiently raises training throughput?,Parquet eliminates expensive CSV parsing and supports columnar reads while FSx for Lustre linked to S3 provides high-throughput low-latency access for repeated multi-epoch reads while keeping the canonical dataset in S3. EFS is general-purpose and does not address CSV parsing cost. SageMaker File mode plus more memory does not address parsing or read latency. Per-job copies to instance-store waste time at the start of every job and do not scale across distributed training instances.,k-1-1-6|k-1-1-5|k-1-2-1|s-1-1-1,hard,ai-generated,FALSE,C,Use SageMaker File mode with the existing CSV and increase instance memory,FALSE,3
d-1-03,D1,mc,A research team runs distributed SageMaker training jobs that read the same 5TB tabular dataset for 200 epochs; the dataset currently exists as gzipped CSV in S3 and GPU utilization stays under 30% because workers spend time on I/O and CSV parsing. Which combination most efficiently raises training throughput?,Parquet eliminates expensive CSV parsing and supports columnar reads while FSx for Lustre linked to S3 provides high-throughput low-latency access for repeated multi-epoch reads while keeping the canonical dataset in S3. EFS is general-purpose and does not address CSV parsing cost. SageMaker File mode plus more memory does not address parsing or read latency. Per-job copies to instance-store waste time at the start of every job and do not scale across distributed training instances.,k-1-1-6|k-1-1-5|k-1-2-1|s-1-1-1,hard,ai-generated,FALSE,D,Copy the gzipped CSV to instance-store volumes at the start of every training job,FALSE,4
