question_ref,lo_code,question_type,question_text,explanation,subtopic_codes,difficulty,source,verified,option_key,option_text,answer_value,sort_order
q-2-1-01,TS2.1,mc,"A company wants to predict customer churn using structured tabular data with features such as account age, monthly spend, and number of support tickets. The team wants to use a SageMaker built-in algorithm that handles missing values natively and is well-suited for classification on tabular data. Which algorithm should the ML engineer use?","XGBoost is the most commonly tested SageMaker built-in algorithm for tabular classification and regression. It handles missing values natively without preprocessing, produces excellent results on structured data, and is the default choice when the exam describes tabular data with a classification or regression objective. Linear Learner is simpler and works for linear relationships but XGBoost outperforms it on complex tabular data. K-Means is an unsupervised clustering algorithm not a classification algorithm. Random Cut Forest is for anomaly detection not classification.",k-2-1-1,easy,ai-generated,false,A,Linear Learner,false,1
q-2-1-01,TS2.1,mc,"A company wants to predict customer churn using structured tabular data with features such as account age, monthly spend, and number of support tickets. The team wants to use a SageMaker built-in algorithm that handles missing values natively and is well-suited for classification on tabular data. Which algorithm should the ML engineer use?","XGBoost is the most commonly tested SageMaker built-in algorithm for tabular classification and regression. It handles missing values natively without preprocessing, produces excellent results on structured data, and is the default choice when the exam describes tabular data with a classification or regression objective. Linear Learner is simpler and works for linear relationships but XGBoost outperforms it on complex tabular data. K-Means is an unsupervised clustering algorithm not a classification algorithm. Random Cut Forest is for anomaly detection not classification.",k-2-1-1,easy,ai-generated,false,B,XGBoost,true,2
q-2-1-01,TS2.1,mc,"A company wants to predict customer churn using structured tabular data with features such as account age, monthly spend, and number of support tickets. The team wants to use a SageMaker built-in algorithm that handles missing values natively and is well-suited for classification on tabular data. Which algorithm should the ML engineer use?","XGBoost is the most commonly tested SageMaker built-in algorithm for tabular classification and regression. It handles missing values natively without preprocessing, produces excellent results on structured data, and is the default choice when the exam describes tabular data with a classification or regression objective. Linear Learner is simpler and works for linear relationships but XGBoost outperforms it on complex tabular data. K-Means is an unsupervised clustering algorithm not a classification algorithm. Random Cut Forest is for anomaly detection not classification.",k-2-1-1,easy,ai-generated,false,C,K-Means,false,3
q-2-1-01,TS2.1,mc,"A company wants to predict customer churn using structured tabular data with features such as account age, monthly spend, and number of support tickets. The team wants to use a SageMaker built-in algorithm that handles missing values natively and is well-suited for classification on tabular data. Which algorithm should the ML engineer use?","XGBoost is the most commonly tested SageMaker built-in algorithm for tabular classification and regression. It handles missing values natively without preprocessing, produces excellent results on structured data, and is the default choice when the exam describes tabular data with a classification or regression objective. Linear Learner is simpler and works for linear relationships but XGBoost outperforms it on complex tabular data. K-Means is an unsupervised clustering algorithm not a classification algorithm. Random Cut Forest is for anomaly detection not classification.",k-2-1-1,easy,ai-generated,false,D,Random Cut Forest,false,4
q-2-1-02,TS2.1,mc,"A retail company wants to add a product recommendation feature to its website. Customers should receive personalized recommendations based on their browsing and purchase history. The team has no machine learning expertise and wants a fully managed service that handles model training and serving without custom ML code. Which AWS service should the ML engineer recommend?","Amazon Personalize is correct because it is a fully managed recommendation service that requires no ML expertise. You provide interaction data (views, purchases, ratings) and Personalize trains recommendation models automatically. Amazon Rekognition analyzes images and video not purchase behavior. Amazon Comprehend performs NLP tasks on text not recommendation. SageMaker with Factorization Machines could work but requires ML expertise to build and tune which contradicts the no-ML-expertise requirement.",k-2-1-2,easy,ai-generated,false,A,Amazon Rekognition,false,1
q-2-1-02,TS2.1,mc,"A retail company wants to add a product recommendation feature to its website. Customers should receive personalized recommendations based on their browsing and purchase history. The team has no machine learning expertise and wants a fully managed service that handles model training and serving without custom ML code. Which AWS service should the ML engineer recommend?","Amazon Personalize is correct because it is a fully managed recommendation service that requires no ML expertise. You provide interaction data (views, purchases, ratings) and Personalize trains recommendation models automatically. Amazon Rekognition analyzes images and video not purchase behavior. Amazon Comprehend performs NLP tasks on text not recommendation. SageMaker with Factorization Machines could work but requires ML expertise to build and tune which contradicts the no-ML-expertise requirement.",k-2-1-2,easy,ai-generated,false,B,Amazon Comprehend,false,2
q-2-1-02,TS2.1,mc,"A retail company wants to add a product recommendation feature to its website. Customers should receive personalized recommendations based on their browsing and purchase history. The team has no machine learning expertise and wants a fully managed service that handles model training and serving without custom ML code. Which AWS service should the ML engineer recommend?","Amazon Personalize is correct because it is a fully managed recommendation service that requires no ML expertise. You provide interaction data (views, purchases, ratings) and Personalize trains recommendation models automatically. Amazon Rekognition analyzes images and video not purchase behavior. Amazon Comprehend performs NLP tasks on text not recommendation. SageMaker with Factorization Machines could work but requires ML expertise to build and tune which contradicts the no-ML-expertise requirement.",k-2-1-2,easy,ai-generated,false,C,Amazon Personalize,true,3
q-2-1-02,TS2.1,mc,"A retail company wants to add a product recommendation feature to its website. Customers should receive personalized recommendations based on their browsing and purchase history. The team has no machine learning expertise and wants a fully managed service that handles model training and serving without custom ML code. Which AWS service should the ML engineer recommend?","Amazon Personalize is correct because it is a fully managed recommendation service that requires no ML expertise. You provide interaction data (views, purchases, ratings) and Personalize trains recommendation models automatically. Amazon Rekognition analyzes images and video not purchase behavior. Amazon Comprehend performs NLP tasks on text not recommendation. SageMaker with Factorization Machines could work but requires ML expertise to build and tune which contradicts the no-ML-expertise requirement.",k-2-1-2,easy,ai-generated,false,D,SageMaker with Factorization Machines,false,4
q-2-1-03,TS2.1,mc,"A logistics company receives thousands of scanned shipping documents in PDF format daily. The documents contain structured tables with item descriptions, quantities, and prices as well as handwritten signature fields. The team needs to automatically extract this structured information into a database. Which AWS service is most appropriate?","Amazon Textract is correct because it extracts text, forms, and tables from scanned documents and PDFs — going beyond simple OCR to understand document structure. It can extract key-value pairs from forms and rows from tables. Amazon Rekognition analyzes images for visual content like objects, faces, and labels but does not extract structured document text. Amazon Comprehend performs NLP on plain text but does not handle document parsing or table extraction. Amazon Transcribe converts audio speech to text not document images.",k-2-1-2,easy,ai-generated,false,A,Amazon Rekognition,false,1
q-2-1-03,TS2.1,mc,"A logistics company receives thousands of scanned shipping documents in PDF format daily. The documents contain structured tables with item descriptions, quantities, and prices as well as handwritten signature fields. The team needs to automatically extract this structured information into a database. Which AWS service is most appropriate?","Amazon Textract is correct because it extracts text, forms, and tables from scanned documents and PDFs — going beyond simple OCR to understand document structure. It can extract key-value pairs from forms and rows from tables. Amazon Rekognition analyzes images for visual content like objects, faces, and labels but does not extract structured document text. Amazon Comprehend performs NLP on plain text but does not handle document parsing or table extraction. Amazon Transcribe converts audio speech to text not document images.",k-2-1-2,easy,ai-generated,false,B,Amazon Textract,true,2
q-2-1-03,TS2.1,mc,"A logistics company receives thousands of scanned shipping documents in PDF format daily. The documents contain structured tables with item descriptions, quantities, and prices as well as handwritten signature fields. The team needs to automatically extract this structured information into a database. Which AWS service is most appropriate?","Amazon Textract is correct because it extracts text, forms, and tables from scanned documents and PDFs — going beyond simple OCR to understand document structure. It can extract key-value pairs from forms and rows from tables. Amazon Rekognition analyzes images for visual content like objects, faces, and labels but does not extract structured document text. Amazon Comprehend performs NLP on plain text but does not handle document parsing or table extraction. Amazon Transcribe converts audio speech to text not document images.",k-2-1-2,easy,ai-generated,false,C,Amazon Comprehend,false,3
q-2-1-03,TS2.1,mc,"A logistics company receives thousands of scanned shipping documents in PDF format daily. The documents contain structured tables with item descriptions, quantities, and prices as well as handwritten signature fields. The team needs to automatically extract this structured information into a database. Which AWS service is most appropriate?","Amazon Textract is correct because it extracts text, forms, and tables from scanned documents and PDFs — going beyond simple OCR to understand document structure. It can extract key-value pairs from forms and rows from tables. Amazon Rekognition analyzes images for visual content like objects, faces, and labels but does not extract structured document text. Amazon Comprehend performs NLP on plain text but does not handle document parsing or table extraction. Amazon Transcribe converts audio speech to text not document images.",k-2-1-2,easy,ai-generated,false,D,Amazon Transcribe,false,4
q-2-1-04,TS2.1,mc,"A media company wants to automatically identify objects, scenes, and inappropriate content in millions of user-uploaded images to enforce content policies. The team has no labeled training data and no ML expertise. Which AWS service should the ML engineer recommend?","Amazon Rekognition is correct because it provides pre-trained computer vision models for object detection, scene recognition, face analysis, and content moderation in images and videos — no training data or ML expertise required. Amazon Textract extracts text from documents not visual content analysis. Amazon Comprehend analyzes text sentiment and entities not images. SageMaker Image Classification is a custom training solution that requires labeled training data which the team does not have.",k-2-1-2,easy,ai-generated,false,A,Amazon Textract,false,1
q-2-1-04,TS2.1,mc,"A media company wants to automatically identify objects, scenes, and inappropriate content in millions of user-uploaded images to enforce content policies. The team has no labeled training data and no ML expertise. Which AWS service should the ML engineer recommend?","Amazon Rekognition is correct because it provides pre-trained computer vision models for object detection, scene recognition, face analysis, and content moderation in images and videos — no training data or ML expertise required. Amazon Textract extracts text from documents not visual content analysis. Amazon Comprehend analyzes text sentiment and entities not images. SageMaker Image Classification is a custom training solution that requires labeled training data which the team does not have.",k-2-1-2,easy,ai-generated,false,B,Amazon Comprehend,false,2
q-2-1-04,TS2.1,mc,"A media company wants to automatically identify objects, scenes, and inappropriate content in millions of user-uploaded images to enforce content policies. The team has no labeled training data and no ML expertise. Which AWS service should the ML engineer recommend?","Amazon Rekognition is correct because it provides pre-trained computer vision models for object detection, scene recognition, face analysis, and content moderation in images and videos — no training data or ML expertise required. Amazon Textract extracts text from documents not visual content analysis. Amazon Comprehend analyzes text sentiment and entities not images. SageMaker Image Classification is a custom training solution that requires labeled training data which the team does not have.",k-2-1-2,easy,ai-generated,false,C,Amazon Rekognition,true,3
