question_ref,lo_code,question_type,question_text,explanation,subtopic_codes,difficulty,source,verified,option_key,option_text,answer_value,sort_order
q-eng9.1-01,ENG9.1,mc,"Choose the word that best fills the blank: 'The government's _____ from taxation increased significantly after the new fiscal policy was implemented.'","'Revenue' is correct — it means income generated, particularly by a government or business, which fits money collected through taxation. 'Expenditure' means spending — the opposite of income. 'Deficit' means a shortfall where spending exceeds income. 'Liability' refers to a financial obligation or debt, not income.",k-eng-9-1-1,easy,ai-generated,false,A,expenditure,false,1
q-eng9.1-01,ENG9.1,mc,"Choose the word that best fills the blank: 'The government's _____ from taxation increased significantly after the new fiscal policy was implemented.'","'Revenue' is correct — it means income generated, particularly by a government or business, which fits money collected through taxation. 'Expenditure' means spending — the opposite of income. 'Deficit' means a shortfall where spending exceeds income. 'Liability' refers to a financial obligation or debt, not income.",k-eng-9-1-1,easy,ai-generated,false,B,revenue,true,2
q-eng9.1-01,ENG9.1,mc,"Choose the word that best fills the blank: 'The government's _____ from taxation increased significantly after the new fiscal policy was implemented.'","'Revenue' is correct — it means income generated, particularly by a government or business, which fits money collected through taxation. 'Expenditure' means spending — the opposite of income. 'Deficit' means a shortfall where spending exceeds income. 'Liability' refers to a financial obligation or debt, not income.",k-eng-9-1-1,easy,ai-generated,false,C,deficit,false,3
q-eng9.1-01,ENG9.1,mc,"Choose the word that best fills the blank: 'The government's _____ from taxation increased significantly after the new fiscal policy was implemented.'","'Revenue' is correct — it means income generated, particularly by a government or business, which fits money collected through taxation. 'Expenditure' means spending — the opposite of income. 'Deficit' means a shortfall where spending exceeds income. 'Liability' refers to a financial obligation or debt, not income.",k-eng-9-1-1,easy,ai-generated,false,D,liability,false,4
q-eng9.1-02,ENG9.1,mc,"Choose the word that best fills the blank: 'Strict penalties are expected to _____ potential offenders from committing financial fraud.'","'Deter' is correct — it means to discourage someone from doing something by making them aware of unpleasant consequences, which exactly fits the purpose of strict penalties. 'Entice' means to attract or tempt, which is the opposite of discouraging. 'Propel' means to drive something forward with force, not to discourage. 'Provoke' means to stimulate a reaction or cause anger, which could actually increase rather than reduce offences.",k-eng-9-1-1,easy,ai-generated,false,A,entice,false,1
q-eng9.1-02,ENG9.1,mc,"Choose the word that best fills the blank: 'Strict penalties are expected to _____ potential offenders from committing financial fraud.'","'Deter' is correct — it means to discourage someone from doing something by making them aware of unpleasant consequences, which exactly fits the purpose of strict penalties. 'Entice' means to attract or tempt, which is the opposite of discouraging. 'Propel' means to drive something forward with force, not to discourage. 'Provoke' means to stimulate a reaction or cause anger, which could actually increase rather than reduce offences.",k-eng-9-1-1,easy,ai-generated,false,B,propel,false,2
q-eng9.1-02,ENG9.1,mc,"Choose the word that best fills the blank: 'Strict penalties are expected to _____ potential offenders from committing financial fraud.'","'Deter' is correct — it means to discourage someone from doing something by making them aware of unpleasant consequences, which exactly fits the purpose of strict penalties. 'Entice' means to attract or tempt, which is the opposite of discouraging. 'Propel' means to drive something forward with force, not to discourage. 'Provoke' means to stimulate a reaction or cause anger, which could actually increase rather than reduce offences.",k-eng-9-1-1,easy,ai-generated,false,C,deter,true,3
q-eng9.1-02,ENG9.1,mc,"Choose the word that best fills the blank: 'Strict penalties are expected to _____ potential offenders from committing financial fraud.'","'Deter' is correct — it means to discourage someone from doing something by making them aware of unpleasant consequences, which exactly fits the purpose of strict penalties. 'Entice' means to attract or tempt, which is the opposite of discouraging. 'Propel' means to drive something forward with force, not to discourage. 'Provoke' means to stimulate a reaction or cause anger, which could actually increase rather than reduce offences.",k-eng-9-1-1,easy,ai-generated,false,D,provoke,false,4
q-eng9.1-03,ENG9.1,mc,"Choose the word that best fills the blank: 'After years of neglect, the once-thriving estate became _____ and utterly uninhabitable.'","'Desolate' is correct — it means bleak, deserted, and without any signs of life, perfectly describing a neglected and uninhabitable place. 'Prosperous' means thriving and successful — the opposite of the state described. 'Fertile' means productive and capable of growth, which contradicts 'neglect' and 'uninhabitable'. 'Bustling' means full of lively activity, the opposite of the deserted desolation described.",k-eng-9-1-1,easy,ai-generated,false,A,prosperous,false,1
q-eng9.1-03,ENG9.1,mc,"Choose the word that best fills the blank: 'After years of neglect, the once-thriving estate became _____ and utterly uninhabitable.'","'Desolate' is correct — it means bleak, deserted, and without any signs of life, perfectly describing a neglected and uninhabitable place. 'Prosperous' means thriving and successful — the opposite of the state described. 'Fertile' means productive and capable of growth, which contradicts 'neglect' and 'uninhabitable'. 'Bustling' means full of lively activity, the opposite of the deserted desolation described.",k-eng-9-1-1,easy,ai-generated,false,B,fertile,false,2
q-eng9.1-03,ENG9.1,mc,"Choose the word that best fills the blank: 'After years of neglect, the once-thriving estate became _____ and utterly uninhabitable.'","'Desolate' is correct — it means bleak, deserted, and without any signs of life, perfectly describing a neglected and uninhabitable place. 'Prosperous' means thriving and successful — the opposite of the state described. 'Fertile' means productive and capable of growth, which contradicts 'neglect' and 'uninhabitable'. 'Bustling' means full of lively activity, the opposite of the deserted desolation described.",k-eng-9-1-1,easy,ai-generated,false,C,bustling,false,3
q-eng9.1-03,ENG9.1,mc,"Choose the word that best fills the blank: 'After years of neglect, the once-thriving estate became _____ and utterly uninhabitable.'","'Desolate' is correct — it means bleak, deserted, and without any signs of life, perfectly describing a neglected and uninhabitable place. 'Prosperous' means thriving and successful — the opposite of the state described. 'Fertile' means productive and capable of growth, which contradicts 'neglect' and 'uninhabitable'. 'Bustling' means full of lively activity, the opposite of the deserted desolation described.",k-eng-9-1-1,easy,ai-generated,false,D,desolate,true,4
q-eng9.1-04,ENG9.1,mc,"Choose the word that best fills the blank: 'The government launched a new _____ to provide free healthcare to all citizens below the poverty line.'","'Initiative' is correct — it means a new plan or programme introduced to address a problem, which fits a government health scheme. 'Obstacle' is a barrier that prevents progress, the opposite of a supportive programme. 'Setback' is a reversal or defeat, not a forward-looking programme. 'Dispute' is a disagreement or argument, unrelated to launching a healthcare scheme.",k-eng-9-1-1,easy,ai-generated,false,A,initiative,true,1
